id,external_id,category_name
242,import.product_id_242,"Nintendo DS Games, Consoles & Accessories"
243,import.product_id_243,"PlayStation 3 Games, Consoles & Accessories"
244,import.product_id_244,"Wii Games, Consoles & Accessories"
245,import.product_id_245,"Xbox 360 Games, Consoles & Accessories"
248,import.product_id_248,Mac Games & Accessories
249,import.product_id_249,"Nintendo 3DS & 2DS Consoles, Games & Accessories"
250,import.product_id_250,Legacy Systems
251,import.product_id_251,"PlayStation Vita Games, Consoles & Accessories"
252,import.product_id_252,"Wii U Games, Consoles & Accessories"
253,import.product_id_253,"PlayStation 4 Games, Consoles & Accessories"
254,import.product_id_254,"Xbox One Games, Consoles & Accessories"
255,import.product_id_255,Video Games
256,import.product_id_256,Online Video Game Services
259,import.product_id_259,Virtual Reality Hardware & Accessories
260,import.product_id_260,"Nintendo Switch Consoles, Games & Accessories"
261,import.product_id_261,"PlayStation 5 Consoles, Games & Accessories"
262,import.product_id_262,"Xbox Series X & S Consoles, Games & Accessories"
263,import.product_id_263,PC Games & Accessories
264,import.product_id_264,Baby Girls' Clothing & Shoes
265,import.product_id_265,Boys' School Uniforms
270,import.product_id_270,Toys & Games
